NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio.Tags.Application.CTT4[8].Status_ch5,Status_ch5,Status_ch5,Studio/Tags/Application/CTT4/[8]/Status_ch5,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.062419
ns=2;s=Studio.Tags.Application.CTT4[8].Status_ch6,Status_ch6,Status_ch6,Studio/Tags/Application/CTT4/[8]/Status_ch6,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.066418
ns=2;s=Studio.Tags.Application.CTT4[8].Status_ch7,Status_ch7,Status_ch7,Studio/Tags/Application/CTT4/[8]/Status_ch7,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.069433
ns=2;s=Studio.Tags.Application.CTT4[8].Status_ch8,Status_ch8,Status_ch8,Studio/Tags/Application/CTT4/[8]/Status_ch8,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.072305
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch1,Temp_ch1,Temp_ch1,Studio/Tags/Application/CTT4/[8]/Temp_ch1,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.074410
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch2,Temp_ch2,Temp_ch2,Studio/Tags/Application/CTT4/[8]/Temp_ch2,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.076403
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch3,Temp_ch3,Temp_ch3,Studio/Tags/Application/CTT4/[8]/Temp_ch3,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.079405
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch4,Temp_ch4,Temp_ch4,Studio/Tags/Application/CTT4/[8]/Temp_ch4,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.082399
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch5,Temp_ch5,Temp_ch5,Studio/Tags/Application/CTT4/[8]/Temp_ch5,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.085415
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch6,Temp_ch6,Temp_ch6,Studio/Tags/Application/CTT4/[8]/Temp_ch6,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.088306
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch7,Temp_ch7,Temp_ch7,Studio/Tags/Application/CTT4/[8]/Temp_ch7,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.091306
ns=2;s=Studio.Tags.Application.CTT4[8].Temp_ch8,Temp_ch8,Temp_ch8,Studio/Tags/Application/CTT4/[8]/Temp_ch8,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[8],7,2,False,2025-11-04T15:33:47.093408
ns=2;s=Studio.Tags.Application.CTT4[9],[9],[9],Studio/Tags/Application/CTT4/[9],Object,,,ns=2;s=Studio.Tags.Application.CTT4,6,2,False,2025-11-04T15:33:47.094522
ns=2;s=Studio.Tags.Application.CTT4[9].Color,Color,Color,Studio/Tags/Application/CTT4/[9]/Color,Variable,Int32,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.097517
ns=2;s=Studio.Tags.Application.CTT4[9].Name,Name,Name,Studio/Tags/Application/CTT4/[9]/Name,Variable,String,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.100495
ns=2;s=Studio.Tags.Application.CTT4[9].Relay_Status,Relay_Status,Relay_Status,Studio/Tags/Application/CTT4/[9]/Relay_Status,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.103519
ns=2;s=Studio.Tags.Application.CTT4[9].Status,Status,Status,Studio/Tags/Application/CTT4/[9]/Status,Variable,Int32,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.106433
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch1,Status_ch1,Status_ch1,Studio/Tags/Application/CTT4/[9]/Status_ch1,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.107430
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch2,Status_ch2,Status_ch2,Studio/Tags/Application/CTT4/[9]/Status_ch2,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.111114
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch3,Status_ch3,Status_ch3,Studio/Tags/Application/CTT4/[9]/Status_ch3,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.113084
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch4,Status_ch4,Status_ch4,Studio/Tags/Application/CTT4/[9]/Status_ch4,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.116071
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch5,Status_ch5,Status_ch5,Studio/Tags/Application/CTT4/[9]/Status_ch5,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.119102
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch6,Status_ch6,Status_ch6,Studio/Tags/Application/CTT4/[9]/Status_ch6,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.123069
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch7,Status_ch7,Status_ch7,Studio/Tags/Application/CTT4/[9]/Status_ch7,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.126103
ns=2;s=Studio.Tags.Application.CTT4[9].Status_ch8,Status_ch8,Status_ch8,Studio/Tags/Application/CTT4/[9]/Status_ch8,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.128116
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch1,Temp_ch1,Temp_ch1,Studio/Tags/Application/CTT4/[9]/Temp_ch1,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.130997
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch2,Temp_ch2,Temp_ch2,Studio/Tags/Application/CTT4/[9]/Temp_ch2,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.132990
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch3,Temp_ch3,Temp_ch3,Studio/Tags/Application/CTT4/[9]/Temp_ch3,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.134991
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch4,Temp_ch4,Temp_ch4,Studio/Tags/Application/CTT4/[9]/Temp_ch4,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.137977
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch5,Temp_ch5,Temp_ch5,Studio/Tags/Application/CTT4/[9]/Temp_ch5,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.140084
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch6,Temp_ch6,Temp_ch6,Studio/Tags/Application/CTT4/[9]/Temp_ch6,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.141992
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch7,Temp_ch7,Temp_ch7,Studio/Tags/Application/CTT4/[9]/Temp_ch7,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.144018
ns=2;s=Studio.Tags.Application.CTT4[9].Temp_ch8,Temp_ch8,Temp_ch8,Studio/Tags/Application/CTT4/[9]/Temp_ch8,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[9],7,2,False,2025-11-04T15:33:47.146074
ns=2;s=Studio.Tags.Application.CTT4[10],[10],[10],Studio/Tags/Application/CTT4/[10],Object,,,ns=2;s=Studio.Tags.Application.CTT4,6,2,False,2025-11-04T15:33:47.147087
ns=2;s=Studio.Tags.Application.CTT4[10].Color,Color,Color,Studio/Tags/Application/CTT4/[10]/Color,Variable,Int32,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.149078
ns=2;s=Studio.Tags.Application.CTT4[10].Name,Name,Name,Studio/Tags/Application/CTT4/[10]/Name,Variable,String,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.151080
ns=2;s=Studio.Tags.Application.CTT4[10].Relay_Status,Relay_Status,Relay_Status,Studio/Tags/Application/CTT4/[10]/Relay_Status,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.153031
ns=2;s=Studio.Tags.Application.CTT4[10].Status,Status,Status,Studio/Tags/Application/CTT4/[10]/Status,Variable,Int32,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.155976
ns=2;s=Studio.Tags.Application.CTT4[10].Status_ch1,Status_ch1,Status_ch1,Studio/Tags/Application/CTT4/[10]/Status_ch1,Variable,Double,,ns=2;s=Studio.Tags.Application.CTT4[10],7,2,False,2025-11-04T15:33:47.157997
