NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio,Studio,Studio,Studio,Object,,,i=85,2,2,False,2025-11-04T15:25:05.330496
ns=2;s=Studio.Tags,Tags,Tags,Studio/Tags,Object,,,ns=2;s=Studio,3,2,False,2025-11-04T15:25:05.332495
ns=2;s=Studio.Tags.System,System,System,Studio/Tags/System,Object,,,ns=2;s=Studio.Tags,4,2,False,2025-11-04T15:25:05.335497
ns=2;s=Studio.Tags.System.Date,Date,Date,Studio/Tags/System/Date,Variable,String,04/11/2025,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.339495
ns=2;s=Studio.Tags.System.Time,Time,Time,Studio/Tags/System/Time,Variable,String,15:25:05,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.344018
ns=2;s=Studio.Tags.System.Hour,Hour,Hour,Studio/Tags/System/Hour,Variable,Int32,15,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.349020
ns=2;s=Studio.Tags.System.Minute,Minute,Minute,Studio/Tags/System/Minute,Variable,Int32,25,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.353018
ns=2;s=Studio.Tags.System.Second,Second,Second,Studio/Tags/System/Second,Variable,Int32,5,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.358018
ns=2;s=Studio.Tags.System.Day,Day,Day,Studio/Tags/System/Day,Variable,Int32,4,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.361015
ns=2;s=Studio.Tags.System.Month,Month,Month,Studio/Tags/System/Month,Variable,Int32,11,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.365017
ns=2;s=Studio.Tags.System.Year,Year,Year,Studio/Tags/System/Year,Variable,Int32,2025,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.368017
ns=2;s=Studio.Tags.System.DayOfYear,DayOfYear,DayOfYear,Studio/Tags/System/DayOfYear,Variable,Int32,308,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.371014
ns=2;s=Studio.Tags.System.Weekday,Weekday,Weekday,Studio/Tags/System/Weekday,Variable,Int32,2,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.375017
ns=2;s=Studio.Tags.System.Yesterday,Yesterday,Yesterday,Studio/Tags/System/Yesterday,Variable,Int32,3,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.378015
ns=2;s=Studio.Tags.System.Tomorrow,Tomorrow,Tomorrow,Studio/Tags/System/Tomorrow,Variable,Int32,5,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.381014
ns=2;s=Studio.Tags.System.Alarm,Alarm,Alarm,Studio/Tags/System/Alarm,Variable,String,"* Porto Torres 1 - WRTU3-PS_B1 - SM_B14701EL090 - ""Current channel 24"" with no production",ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.384016
ns=2;s=Studio.Tags.System.BlinkSlow,BlinkSlow,BlinkSlow,Studio/Tags/System/BlinkSlow,Variable,Boolean,True,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.387016
ns=2;s=Studio.Tags.System.BlinkFast,BlinkFast,BlinkFast,Studio/Tags/System/BlinkFast,Variable,Boolean,True,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.389013
ns=2;s=Studio.Tags.System.AckAlr,AckAlr,AckAlr,Studio/Tags/System/AckAlr,Variable,Boolean,False,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.392014
ns=2;s=Studio.Tags.System.AckAll,AckAll,AckAll,Studio/Tags/System/AckAll,Variable,Boolean,False,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.395019
ns=2;s=Studio.Tags.System.UserName,UserName,UserName,Studio/Tags/System/UserName,Variable,String,Admin,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.398015
ns=2;s=Studio.Tags.System.GroupName,GroupName,GroupName,Studio/Tags/System/GroupName,Variable,String,Administrators,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.401015
ns=2;s=Studio.Tags.System.GroupLoLevel,GroupLoLevel,GroupLoLevel,Studio/Tags/System/GroupLoLevel,Variable,Int32,0,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.404014
ns=2;s=Studio.Tags.System.GroupHiLevel,GroupHiLevel,GroupHiLevel,Studio/Tags/System/GroupHiLevel,Variable,Int32,255,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.407016
ns=2;s=Studio.Tags.System.GroupCNFLoLevel,GroupCNFLoLevel,GroupCNFLoLevel,Studio/Tags/System/GroupCNFLoLevel,Variable,Int32,0,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.409015
ns=2;s=Studio.Tags.System.GroupCNFHiLevel,GroupCNFHiLevel,GroupCNFHiLevel,Studio/Tags/System/GroupCNFHiLevel,Variable,Int32,255,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.412018
ns=2;s=Studio.Tags.System.AnalogValue_,AnalogValue_,AnalogValue_,Studio/Tags/System/AnalogValue_,Variable,Double,8.0,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.415017
ns=2;s=Studio.Tags.System.DigitalValue_,DigitalValue_,DigitalValue_,Studio/Tags/System/DigitalValue_,Variable,Boolean,True,ns=2;s=Studio.Tags.System,5,2,False,2025-11-04T15:25:05.418018
ns=2;s=Studio.Tags.System.ServerTime_,ServerTime_,ServerTime_,Studio/Tags/System/ServerTime_,Variable,String,15:25:05,ns=2;s=Studio.Tags.System,5,2,True,2025-11-04T15:25:05.421016
ns=2;s=Studio.Tags.System.ServerDate_,ServerDate_,ServerDate_,Studio/Tags/System/ServerDate_,Variable,String,04/11/2025,ns=2;s=Studio.Tags.System,5,2,True,2025-11-04T15:25:05.423015
