NodeId,BrowseName,DisplayName,FullPath,NodeClass,DataType,Value,ParentId,Depth,NamespaceIndex,IsNamespaceNode,Timestamp
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].CB_1_Opened,CB_1_Opened,CB_1_Opened,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/CB_1_Opened,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.499963
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Color,Color,Color,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Color,Variable,Int32,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.502963
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].CosPhi,CosPhi,CosPhi,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/CosPhi,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.506962
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].CosPhi_L1,CosPhi_L1,CosPhi_L1,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/CosPhi_L1,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.511967
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].CosPhi_L2,CosPhi_L2,CosPhi_L2,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/CosPhi_L2,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.517003
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].CosPhi_L3,CosPhi_L3,CosPhi_L3,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/CosPhi_L3,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.519962
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].EActIn,EActIn,EActIn,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/EActIn,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.523964
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].EActOut,EActOut,EActOut,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/EActOut,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.526962
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Earth_Fault_Forward_Line,Earth_Fault_Forward_Line,Earth_Fault_Forward_Line,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Earth_Fault_Forward_Line,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.531966
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].ERctIn,ERctIn,ERctIn,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/ERctIn,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.535965
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].ERctOut,ERctOut,ERctOut,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/ERctOut,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.540967
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].Freq,Freq,Freq,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/Freq,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.547975
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].General_Start_Pick_up,General_Start_Pick_up,General_Start_Pick_up,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/General_Start_Pick_up,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.551964
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].General_Trip,General_Trip,General_Trip,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/General_Trip,Variable,Boolean,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.555963
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].I,I,I,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/I,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.558963
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].I_L1,I_L1,I_L1,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/I_L1,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.562967
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].I_L2,I_L2,I_L2,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/I_L2,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.566965
ns=2;s=Studio.Tags.Application.Argus_7SR10[4].I_L3,I_L3,I_L3,Root/Objects/Studio/Tags/Application/Argus_7SR10/[4]/I_L3,Variable,Double,,ns=2;s=Studio.Tags.Application.Argus_7SR10[4],7,2,False,2025-11-04T15:23:13.570970
